title,genres,year,imdbId
"Misérables, Les","['Drama', 'War']",1995,113828
Bed of Roses,"['Drama', 'Romance']",1996,115644
Big Bully,"['Comedy', 'Drama']",1996,115676
Screamers,"['Action', 'Sci-Fi', 'Thriller']",1995,114367
Nico Icon,['Documentary'],1995,113973
The Crossing Guard,"['Action', 'Crime', 'Drama', 'Thriller']",1995,112744
The Juror,"['Drama', 'Thriller']",1996,116731
"White Balloon, The (Badkonake sefid)","['Children', 'Drama']",1995,112445
Things to Do in Denver When You're Dead,"['Crime', 'Drama', 'Romance']",1995,114660
Antonia's Line (Antonia),"['Comedy', 'Drama']",1995,112379
Once Upon a Time... When We Were Colored,"['Drama', 'Romance']",1995,114039
Angels and Insects,"['Drama', 'Romance']",1995,112365
White Squall,"['Action', 'Adventure', 'Drama']",1996,118158
Dunston Checks In,"['Children', 'Comedy']",1996,116151
Black Sheep,['Comedy'],1996,115697
Nick of Time,"['Action', 'Thriller']",1995,113972
Mary Reilly,"['Drama', 'Horror', 'Thriller']",1996,117002
Vampire in Brooklyn,"['Comedy', 'Horror', 'Romance']",1995,114825
Beautiful Girls,"['Comedy', 'Drama', 'Romance']",1996,115639
Broken Arrow,"['Action', 'Adventure', 'Thriller']",1996,115759
In the Bleak Midwinter,"['Comedy', 'Drama']",1995,113403
"Hate (Haine, La)","['Crime', 'Drama']",1995,113247
Heidi Fleiss: Hollywood Madam,['Documentary'],1995,113283
City Hall,"['Drama', 'Thriller']",1996,115907
Bottle Rocket,"['Adventure', 'Comedy', 'Crime', 'Romance']",1996,115734
Mr. Wrong,['Comedy'],1996,117102
Unforgettable,"['Mystery', 'Sci-Fi', 'Thriller']",1996,118040
Happy Gilmore,['Comedy'],1996,116483
The Bridges of Madison County,"['Drama', 'Romance']",1995,112579
Nobody Loves Me (Keiner liebt mich),"['Comedy', 'Drama']",1994,110251
Muppet Treasure Island,"['Adventure', 'Children', 'Comedy', 'Musical']",1996,117110
Catwalk,['Documentary'],1996,112646
Braveheart,"['Action', 'Drama', 'War']",1995,112573
Taxi Driver,"['Crime', 'Drama', 'Thriller']",1976,75314
Rumble in the Bronx (Hont faan kui),"['Action', 'Adventure', 'Comedy', 'Crime']",1995,113326
Before and After,"['Drama', 'Mystery']",1996,115645
Anne Frank Remembered,['Documentary'],1995,112373
The Young Poisoner's Handbook,"['Crime', 'Drama']",1995,115033
If Lucy Fell,"['Comedy', 'Romance']",1996,116606
"Steal Big, Steal Little",['Comedy'],1995,114536
The Boys of St. Vincent,['Drama'],1992,106473
Boomerang,"['Comedy', 'Romance']",1992,103859
Chungking Express (Chung Hing sam lam),"['Drama', 'Mystery', 'Romance']",1994,109424
Flirting With Disaster,['Comedy'],1996,116324
The NeverEnding Story III,"['Adventure', 'Children', 'Fantasy']",1994,110647
Jupiter's Wife,['Documentary'],1994,110217
Pie in the Sky,"['Comedy', 'Romance']",1996,114131
Jade,['Thriller'],1995,113451
Down Periscope,['Comedy'],1996,116130
Man of the Year,['Documentary'],1995,113756
Up Close and Personal,"['Drama', 'Romance']",1996,118055
The Birdcage,['Comedy'],1996,115685
The Brothers McMullen,['Comedy'],1995,112585
Bad Boys,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",1995,112442
The Amazing Panda Adventure,"['Adventure', 'Children']",1995,112342
The Basketball Diaries,['Drama'],1995,112461
An Awfully Big Adventure,['Drama'],1995,112427
Amateur,"['Crime', 'Drama', 'Thriller']",1994,109093
Apollo 13,"['Adventure', 'Drama', 'IMAX']",1995,112384
Rob Roy,"['Action', 'Drama', 'Romance', 'War']",1995,114287
The Addiction,"['Drama', 'Horror']",1995,112288
Batman Forever,"['Action', 'Adventure', 'Comedy', 'Crime']",1995,112462
Beauty of the Day (Belle de jour),['Drama'],1967,61395
Beyond Rangoon,"['Adventure', 'Drama', 'War']",1995,112495
Blue in the Face,"['Comedy', 'Drama']",1995,112541
Canadian Bacon,"['Comedy', 'War']",1995,109370
Casper,"['Adventure', 'Children']",1995,112642
Clockers,"['Crime', 'Drama', 'Mystery']",1995,112688
Congo,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",1995,112715
Crimson Tide,"['Drama', 'Thriller', 'War']",1995,112740
Crumb,['Documentary'],1994,109508
Desperado,"['Action', 'Romance', 'Western']",1995,112851
Devil in a Blue Dress,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",1995,112857
Die Hard: With a Vengeance,"['Action', 'Crime', 'Thriller']",1995,112864
The Doom Generation,"['Comedy', 'Crime', 'Drama']",1995,112887
First Knight,"['Action', 'Drama', 'Romance']",1995,113071
Free Willy 2: The Adventure Home,"['Adventure', 'Children', 'Drama']",1995,113114
Hackers,"['Action', 'Adventure', 'Crime', 'Thriller']",1995,113243
Jeffrey,"['Comedy', 'Drama']",1995,113464
Johnny Mnemonic,"['Action', 'Sci-Fi', 'Thriller']",1995,113481
Judge Dredd,"['Action', 'Crime', 'Sci-Fi']",1995,113492
Jury Duty,['Comedy'],1995,113500
Kids,['Drama'],1995,113540
Living in Oblivion,['Comedy'],1995,113677
Lord of Illusions,['Horror'],1995,113690
Love & Human Remains,"['Comedy', 'Drama']",1993,107447
Mad Love,"['Drama', 'Romance']",1995,113729
Mallrats,"['Comedy', 'Romance']",1995,113749
Mighty Morphin Power Rangers: The Movie,"['Action', 'Children']",1995,113820
Mute Witness,"['Comedy', 'Horror', 'Thriller']",1994,110604
Nadja,['Drama'],1994,110620
The Net,"['Action', 'Crime', 'Thriller']",1995,113957
Nine Months,"['Comedy', 'Romance']",1995,113986
Party Girl,['Comedy'],1995,114095
The Prophecy,"['Fantasy', 'Horror', 'Mystery']",1995,114194
Reckless,"['Comedy', 'Fantasy']",1995,114241
Safe,['Thriller'],1995,114323
The Scarlet Letter,"['Drama', 'Romance']",1995,114345
Showgirls,['Drama'],1995,114436
Smoke,"['Comedy', 'Drama']",1995,114478
Something to Talk About,"['Comedy', 'Drama', 'Romance']",1995,114496
Species,"['Horror', 'Sci-Fi']",1995,114508
Strange Days,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",1995,114558
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)","['Drama', 'Musical', 'Romance']",1964,58450
Three Wishes,"['Drama', 'Fantasy']",1995,114663
Total Eclipse,"['Drama', 'Romance']",1995,114702
"To Wong Foo, Thanks for Everything! Julie Newmar",['Comedy'],1995,114682
Under Siege 2: Dark Territory,['Action'],1995,114781
Unstrung Heroes,"['Comedy', 'Drama']",1995,114798
Unzipped,['Documentary'],1995,114805
A Walk in the Clouds,"['Drama', 'Romance']",1995,114887
Waterworld,"['Action', 'Adventure', 'Sci-Fi']",1995,114898
White Man's Burden,['Drama'],1995,114928
Wild Bill,['Western'],1995,114938
The Browning Version,['Drama'],1994,109340
Bushwhacked,"['Adventure', 'Comedy', 'Crime', 'Mystery']",1995,112602
Burnt by the Sun (Utomlyonnye solntsem),['Drama'],1994,111579
Before the Rain (Pred dozhdot),"['Drama', 'War']",1994,110882
Before Sunrise,"['Drama', 'Romance']",1995,112471
Billy Madison,['Comedy'],1995,112508
The Babysitter,"['Drama', 'Thriller']",1995,112438
Boys on the Side,"['Comedy', 'Drama']",1995,112571
The Cure,['Drama'],1995,112757
Castle Freak,['Horror'],1995,112643
Circle of Friends,"['Drama', 'Romance']",1995,112679
Clerks,['Comedy'],1994,109445
Don Juan DeMarco,"['Comedy', 'Drama', 'Romance']",1995,112883
Disclosure,"['Drama', 'Thriller']",1994,109635
Drop Zone,"['Action', 'Thriller']",1994,109676
Destiny Turns on the Radio,['Comedy'],1995,112854
Death and the Maiden,"['Drama', 'Thriller']",1994,109579
Dolores Claiborne,"['Drama', 'Thriller']",1995,109642
Dumb & Dumber (Dumb and Dumber),"['Adventure', 'Comedy']",1994,109686
Eat Drink Man Woman (Yin shi nan nu),"['Comedy', 'Drama', 'Romance']",1994,111797
Exotica,['Drama'],1994,109759
Exit to Eden,['Comedy'],1994,109758
Ed Wood,"['Comedy', 'Drama']",1994,109707
French Kiss,"['Action', 'Comedy', 'Romance']",1995,113117
Forget Paris,"['Comedy', 'Romance']",1995,113097
Far From Home: The Adventures of Yellow Dog,"['Adventure', 'Children']",1995,113028
A Goofy Movie,"['Animation', 'Children', 'Comedy', 'Romance']",1995,113198
Hideaway,['Thriller'],1995,113303
Fluke,"['Children', 'Drama']",1995,113089
Farinelli: il castrato,"['Drama', 'Musical']",1994,109771
Gordy,"['Children', 'Comedy', 'Fantasy']",1995,113199
Hoop Dreams,['Documentary'],1994,110057
Heavenly Creatures,"['Crime', 'Drama']",1994,110005
Houseguest,['Comedy'],1994,110066
Immortal Beloved,"['Drama', 'Romance']",1994,110116
Heavyweights (Heavy Weights),"['Children', 'Comedy']",1995,110006
The Hunted,['Action'],1995,113360
I.Q.,"['Comedy', 'Romance']",1994,110099
Interview with the Vampire: The Vampire Chronicles,"['Drama', 'Horror']",1994,110148
Jefferson in Paris,['Drama'],1995,113463
The Jerky Boys,['Comedy'],1995,110189
Junior,"['Comedy', 'Sci-Fi']",1994,110216
Just Cause,"['Mystery', 'Thriller']",1995,113501
A Kid in King Arthur's Court,"['Adventure', 'Children', 'Comedy', 'Fantasy', 'Romance']",1995,113538
Kiss of Death,"['Crime', 'Drama', 'Thriller']",1995,113552
Star Wars: Episode IV - A New Hope,"['Action', 'Adventure', 'Sci-Fi']",1977,76759
Little Women,['Drama'],1994,110367
A Little Princess,"['Children', 'Drama']",1995,113670
Ladybird Ladybird,['Drama'],1994,110296
Like Water for Chocolate (Como agua para chocolate),"['Drama', 'Fantasy', 'Romance']",1992,103994
Legends of the Fall,"['Drama', 'Romance', 'War', 'Western']",1994,110322
Major Payne,['Comedy'],1995,110443
My Crazy Life (Mi vida loca),['Drama'],1993,107566
Love Affair,"['Drama', 'Romance']",1994,110391
Losing Isaiah,['Drama'],1995,113691
The Madness of King George,"['Comedy', 'Drama']",1994,110428
Mary Shelley's Frankenstein (Frankenstein),"['Drama', 'Horror', 'Sci-Fi']",1994,109836
Man of the House,['Comedy'],1995,113755
Mixed Nuts,['Comedy'],1994,110538
Milk Money,"['Comedy', 'Romance']",1994,110516
Miracle on 34th Street,['Drama'],1994,110527
Miami Rhapsody,['Comedy'],1995,113808
My Family,['Drama'],1995,113896
Murder in the First,"['Drama', 'Thriller']",1995,113870
Nobody's Fool,"['Comedy', 'Drama', 'Romance']",1994,110684
Nell,['Drama'],1994,110638
New Jersey Drive,"['Crime', 'Drama']",1995,113967
New York Cop (Nyû Yôku no koppu),"['Action', 'Crime']",1993,117169
Beyond Bedlam,"['Drama', 'Horror']",1993,106402
Nina Takes a Lover,"['Comedy', 'Romance']",1994,110671
Natural Born Killers,"['Action', 'Crime', 'Thriller']",1994,110632
Only You,"['Comedy', 'Romance']",1994,110737
Once Were Warriors,"['Crime', 'Drama']",1994,110729
Poison Ivy II,"['Drama', 'Thriller']",1996,114151
Outbreak,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",1995,114069
Léon: The Professional (a.k.a. The Professional) (Léon),"['Action', 'Crime', 'Drama', 'Thriller']",1994,110413
The Perez Family,"['Comedy', 'Romance']",1995,114113
A Pyromaniac's Love Story,"['Comedy', 'Romance']",1995,114210
Pulp Fiction,"['Comedy', 'Crime', 'Drama', 'Thriller']",1994,110912
Pushing Hands (Tui shou),['Drama'],1992,105652
Priest,['Drama'],1994,110889
Quiz Show,['Drama'],1994,110932
Picture Bride (Bijo photo),"['Drama', 'Romance']",1994,114129
"Queen Margot (Reine Margot, La)","['Drama', 'Romance']",1994,110963
The Quick and the Dead,"['Action', 'Thriller', 'Western']",1995,114214
Roommates,"['Comedy', 'Drama']",1995,114296
Ready to Wear (Pret-A-Porter),['Comedy'],1994,110907
Three Colors: Red (Trois couleurs: Rouge),['Drama'],1994,111495
Three Colors: Blue (Trois couleurs: Bleu),['Drama'],1993,108394
Three Colors: White (Trzy kolory: Bialy),"['Comedy', 'Drama']",1994,111507
Rent-a-Kid,['Comedy'],1995,114268
Relative Fear,"['Horror', 'Thriller']",1994,110965
Stuart Saves His Family,['Comedy'],1995,114571
The Swan Princess,"['Animation', 'Children']",1994,111333
The Secret of Roan Inish,"['Children', 'Drama', 'Fantasy', 'Mystery']",1994,111112
The Specialist,"['Action', 'Drama', 'Thriller']",1994,111255
Stargate,"['Action', 'Adventure', 'Sci-Fi']",1994,111282
The Santa Clause,"['Comedy', 'Drama', 'Fantasy']",1994,111070
The Shawshank Redemption,"['Crime', 'Drama']",1994,111161
Shallow Grave,"['Comedy', 'Drama', 'Thriller']",1994,111149
Suture,"['Film-Noir', 'Thriller']",1993,108260
Strawberry and Chocolate (Fresa y chocolate),['Drama'],1993,106966
Swimming with Sharks,"['Comedy', 'Drama']",1995,114594
The Sum of Us,"['Comedy', 'Drama']",1994,111309
National Lampoon's Senior Trip,['Comedy'],1995,113936
To Live (Huozhe),['Drama'],1994,110081
Tank Girl,"['Action', 'Comedy', 'Sci-Fi']",1995,114614
Tales from the Crypt Presents: Demon Knight,"['Horror', 'Thriller']",1995,114608
Star Trek: Generations,"['Adventure', 'Drama', 'Sci-Fi']",1994,111280
Tales from the Hood,"['Action', 'Crime', 'Horror']",1995,114609
Tom & Viv,['Drama'],1994,111454
Village of the Damned,"['Horror', 'Sci-Fi']",1995,114852
Tommy Boy,['Comedy'],1995,114694
Vanya on 42nd Street,['Drama'],1994,111590
Underneath,"['Mystery', 'Thriller']",1995,114788
The Walking Dead,"['Drama', 'War']",1995,114888
What's Eating Gilbert Grape,['Drama'],1993,108550
Virtuosity,"['Action', 'Sci-Fi', 'Thriller']",1995,114857
While You Were Sleeping,"['Comedy', 'Romance']",1995,114924
The War,"['Adventure', 'Drama', 'War']",1994,111667
Double Happiness,['Drama'],1994,109655
Muriel's Wedding,['Comedy'],1994,110598
The Baby-Sitters Club,['Children'],1995,112435
Ace Ventura: Pet Detective,['Comedy'],1994,109040
"The Adventures of Priscilla, Queen of the Desert","['Comedy', 'Drama']",1994,109045
Backbeat,"['Drama', 'Musical']",1993,106339
Bitter Moon,"['Drama', 'Film-Noir', 'Romance']",1992,104779
Bullets Over Broadway,['Comedy'],1994,109348
Clear and Present Danger,"['Action', 'Crime', 'Drama', 'Thriller']",1994,109444
The Client,"['Drama', 'Mystery', 'Thriller']",1994,109446
"Corrina, Corrina","['Comedy', 'Drama', 'Romance']",1994,109484
Crooklyn,"['Comedy', 'Drama']",1994,109504
The Crow,"['Action', 'Crime', 'Fantasy', 'Thriller']",1994,109506
Cobb,['Drama'],1994,109450
The Flintstones,"['Children', 'Comedy', 'Fantasy']",1994,109813
Forrest Gump,"['Comedy', 'Drama', 'Romance', 'War']",1994,109830
Four Weddings and a Funeral,"['Comedy', 'Romance']",1994,109831
Higher Learning,['Drama'],1995,113305
I Like It Like That,"['Comedy', 'Drama', 'Romance']",1994,110091
I Love Trouble,"['Action', 'Comedy']",1994,110093
It Could Happen to You,"['Comedy', 'Drama', 'Romance']",1994,110167
The Jungle Book,"['Adventure', 'Children', 'Romance']",1994,110213
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",['Documentary'],1993,107472
The Lion King,"['Adventure', 'Animation', 'Children', 'Drama', 'Musical', 'IMAX']",1994,110357
Little Buddha,['Drama'],1993,107426
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)","['Drama', 'Horror', 'Mystery', 'Thriller']",1994,111686
The Mask,"['Action', 'Comedy', 'Crime', 'Fantasy']",1994,110475
Maverick,"['Adventure', 'Comedy', 'Western']",1994,110478
Mrs. Parker and the Vicious Circle,['Drama'],1994,110588
Naked Gun 33 1/3: The Final Insult,"['Action', 'Comedy']",1994,110622
The Paper,"['Comedy', 'Drama']",1994,110771
Reality Bites,"['Comedy', 'Drama', 'Romance']",1994,110950
Red Rock West,['Thriller'],1992,105226
Richie Rich,"['Children', 'Comedy']",1994,110989
The River Wild,"['Action', 'Thriller']",1994,110997
Speed,"['Action', 'Romance', 'Thriller']",1994,111257
Speechless,"['Comedy', 'Romance']",1994,111256
Timecop,"['Action', 'Sci-Fi', 'Thriller']",1994,111438
True Lies,"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']",1994,111503
When a Man Loves a Woman,"['Drama', 'Romance']",1994,111693
Wolf,"['Drama', 'Horror', 'Romance', 'Thriller']",1994,111742
Wyatt Earp,['Western'],1994,111756
Bad Company,"['Action', 'Crime', 'Drama']",1995,112443
A Man of No Importance,['Drama'],1994,110455
S.F.W.,['Drama'],1994,111048
A Low Down Dirty Shame,"['Action', 'Comedy']",1994,110399
Boys Life,['Drama'],1995,112570
"Colonel Chabert, Le","['Drama', 'Romance', 'War']",1994,109454
Faster Pussycat! Kill! Kill!,"['Action', 'Crime', 'Drama']",1965,59170
Jason's Lyric,"['Crime', 'Drama']",1994,110186
Street Fighter,"['Action', 'Adventure', 'Fantasy']",1994,111301
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),"['Action', 'Fantasy']",1994,110027
Federal Hill,['Drama'],1994,109785
In the Mouth of Madness,"['Horror', 'Thriller']",1995,113409
8 Seconds,['Drama'],1994,109021
Above the Rim,"['Crime', 'Drama']",1994,109035
Addams Family Values,"['Children', 'Comedy', 'Fantasy']",1993,106220
The Age of Innocence,['Drama'],1993,106226
Airheads,['Comedy'],1994,109068
The Air Up There,['Comedy'],1994,109067
Another Stakeout,"['Comedy', 'Thriller']",1993,106292
Bad Girls,['Western'],1994,109198
Barcelona,"['Comedy', 'Romance']",1994,109219
Being Human,['Drama'],1993,106379
The Beverly Hillbillies,['Comedy'],1993,106400
Beverly Hills Cop III,"['Action', 'Comedy', 'Crime', 'Thriller']",1994,109254
Black Beauty,"['Adventure', 'Children', 'Drama']",1994,109279
Blink,['Thriller'],1994,109297
Blown Away,"['Action', 'Thriller']",1994,109303
Blue Chips,['Drama'],1994,109305
Blue Sky,"['Drama', 'Romance']",1994,109306
Body Snatchers,"['Horror', 'Sci-Fi', 'Thriller']",1993,106452
Boxing Helena,"['Drama', 'Mystery', 'Romance', 'Thriller']",1993,106471
A Bronx Tale,['Drama'],1993,106489
Cabin Boy,['Comedy'],1994,109361
Calendar Girl,"['Comedy', 'Drama']",1993,106505
Carlito's Way,"['Crime', 'Drama']",1993,106519
City Slickers II: The Legend of Curly's Gold,"['Adventure', 'Comedy', 'Western']",1994,109439
Clean Slate,['Comedy'],1994,109443
Cliffhanger,"['Action', 'Adventure', 'Thriller']",1993,106582
Coneheads,"['Comedy', 'Sci-Fi']",1993,106598
Color of Night,"['Drama', 'Thriller']",1994,109456
Cops and Robbersons,['Comedy'],1994,109480
The Cowboy Way,"['Action', 'Comedy', 'Drama']",1994,109493
Dave,"['Comedy', 'Romance']",1993,106673
Dazed and Confused,['Comedy'],1993,106677
Demolition Man,"['Action', 'Adventure', 'Sci-Fi']",1993,106697
Even Cowgirls Get the Blues,"['Comedy', 'Romance']",1993,106834
Fatal Instinct,['Comedy'],1993,106873
Farewell My Concubine (Ba wang bie ji),"['Drama', 'Romance']",1993,106332
Fearless,['Drama'],1993,106881
Fear of a Black Hat,['Comedy'],1994,106880
With Honors,"['Comedy', 'Drama']",1994,111732
Flesh and Bone,"['Drama', 'Mystery', 'Romance']",1993,106926
Widows' Peak,['Drama'],1994,111712
For Love or Money,"['Comedy', 'Romance']",1993,106941
The Firm,"['Drama', 'Thriller']",1993,106918
Free Willy,"['Adventure', 'Children', 'Drama']",1993,106965
Fresh,"['Crime', 'Drama', 'Thriller']",1994,109842
The Fugitive,['Thriller'],1993,106977
Geronimo: An American Legend,"['Drama', 'Western']",1993,107004
The Getaway,"['Action', 'Adventure', 'Crime', 'Drama', 'Romance', 'Thriller']",1994,109890
Getting Even with Dad,['Comedy'],1994,109891
Go Fish,"['Drama', 'Romance']",1994,109913
Hard Target,"['Action', 'Adventure', 'Crime', 'Thriller']",1993,107076
Hot Shots! Part Deux,"['Action', 'Comedy', 'War']",1993,107144
Live Nude Girls,['Comedy'],1995,113674
The Englishman Who Went Up a Hill But Came Down a Mountain,"['Comedy', 'Romance']",1995,112966
The House of the Spirits,"['Drama', 'Romance']",1993,107151
House Party 3,['Comedy'],1994,110064
The Hudsucker Proxy,['Comedy'],1994,110074
I'll Do Anything,"['Comedy', 'Drama']",1994,110097
In the Army Now,"['Comedy', 'War']",1994,110123
In the Line of Fire,"['Action', 'Thriller']",1993,107206
In the Name of the Father,['Drama'],1993,107207
The Inkwell,"['Comedy', 'Drama']",1994,110137
What's Love Got to Do with It?,"['Drama', 'Musical']",1993,108551
Jimmy Hollywood,"['Comedy', 'Crime', 'Drama']",1994,110197
Judgment Night,"['Action', 'Crime', 'Thriller']",1993,107286
Jurassic Park,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",1993,107290
Kalifornia,"['Drama', 'Thriller']",1993,107302
Killing Zoe,"['Crime', 'Drama', 'Thriller']",1994,110265
Lassie,"['Adventure', 'Children']",1994,110305
Last Action Hero,"['Action', 'Adventure', 'Comedy', 'Fantasy']",1993,107362
Life with Mikey,['Comedy'],1993,107413
Lightning Jack,"['Comedy', 'Western']",1994,110353
M. Butterfly,"['Drama', 'Romance']",1993,107468
Made in America,['Comedy'],1993,107478
Malice,['Thriller'],1993,107497
The Man Without a Face,['Drama'],1993,107501
Manhattan Murder Mystery,"['Comedy', 'Mystery']",1993,107507
Menace II Society,"['Action', 'Crime', 'Drama']",1993,107554
Executive Decision,"['Action', 'Adventure', 'Thriller']",1996,116253
In the Realm of the Senses (Ai no corrida),['Drama'],1976,74102
What Happened Was...,"['Comedy', 'Drama', 'Romance', 'Thriller']",1994,111689
Much Ado About Nothing,"['Comedy', 'Romance']",1993,107616
Mr. Wonderful,"['Comedy', 'Romance']",1993,107613
Mrs. Doubtfire,"['Comedy', 'Drama']",1993,107614
Naked,['Drama'],1993,107653
The Next Karate Kid,"['Action', 'Children', 'Romance']",1994,110657
No Escape,"['Action', 'Drama', 'Sci-Fi']",1994,110678
North,['Comedy'],1994,110687
Orlando,"['Drama', 'Fantasy', 'Romance']",1992,107756
A Perfect World,"['Crime', 'Drama', 'Thriller']",1993,107808
Philadelphia,['Drama'],1993,107818
The Piano,"['Drama', 'Romance']",1993,107822
Poetic Justice,['Drama'],1993,107840
The Program,"['Action', 'Drama']",1993,107889
The Puppet Masters,"['Horror', 'Sci-Fi']",1994,111003
Radioland Murders,"['Comedy', 'Mystery', 'Romance']",1994,110939
The Ref,['Comedy'],1994,110955
The Remains of the Day,"['Drama', 'Romance']",1993,107943
Renaissance Man,"['Comedy', 'Drama']",1994,110971
Rising Sun,"['Action', 'Drama', 'Mystery']",1993,107969
The Road to Wellville,['Comedy'],1994,111001
RoboCop 3,"['Action', 'Crime', 'Drama', 'Sci-Fi', 'Thriller']",1993,107978
Robin Hood: Men in Tights,['Comedy'],1993,107977
Romeo Is Bleeding,"['Crime', 'Thriller']",1993,107983
Romper Stomper,"['Action', 'Drama']",1992,105275
Ruby in Paradise,['Drama'],1993,108000
Rudy,['Drama'],1993,108002
"Savage Nights (Nuits fauves, Les)",['Drama'],1992,105032
Schindler's List,"['Drama', 'War']",1993,108052
The Scout,"['Comedy', 'Drama']",1994,111094
Searching for Bobby Fischer,['Drama'],1993,108065
The Secret Garden,"['Children', 'Drama']",1993,108071
Serial Mom,"['Comedy', 'Crime', 'Horror']",1994,111127
The Shadow,"['Action', 'Adventure', 'Fantasy', 'Mystery']",1994,111143
Shadowlands,"['Drama', 'Romance']",1993,108101
Short Cuts,['Drama'],1993,108122
A Simple Twist of Fate,['Drama'],1994,111194
Sirens,['Drama'],1994,111201
Six Degrees of Separation,['Drama'],1993,108149
